train_acc,train_loss,val_acc,val_loss
0.02178947368421053,4.3823543,0.029200000000000004,4.200848
0.048926315789473686,4.1087484,0.0724,3.9259338
0.08850526315789475,3.8552468,0.1124,3.6923018
0.12837894736842106,3.6208572,0.1504,3.4715977
0.16469473684210525,3.3958857,0.19480000000000003,3.2273731
0.20298947368421055,3.1851141,0.22920000000000001,3.0519607
0.23452631578947367,3.0209892,0.2504,2.9975822
0.2582315789473684,2.8845155,0.2796,2.8226864
0.285578947368421,2.7546268,0.2912,2.734812
0.3078315789473684,2.6467974,0.3116,2.6505005
0.3238526315789474,2.5535173,0.338,2.5272453
0.3426736842105263,2.48112,0.34559999999999996,2.4927816
0.3562526315789473,2.4069278,0.3608,2.423028
0.3714105263157895,2.3491852,0.36440000000000006,2.398812
0.3854526315789474,2.2846441,0.34800000000000003,2.4109247
0.3930736842105263,2.2445533,0.39319999999999994,2.2600849
0.4053052631578947,2.2015543,0.3876,2.3242676
0.41589473684210526,2.155052,0.3868,2.2925801
0.4244842105263158,2.1130757,0.40279999999999994,2.17822
0.43600000000000005,2.0693815,0.402,2.2090545
0.4376421052631579,2.0435567,0.42200000000000004,2.1966894
0.4460842105263158,2.0107245,0.4,2.2213328
0.4569263157894737,1.9799291,0.42480000000000007,2.1452482
0.4636,1.9486896,0.4168,2.186285
0.46764210526315786,1.9226226,0.41200000000000003,2.1634996
0.474421052631579,1.9002023,0.4296,2.128505
0.47770526315789474,1.8766072,0.44120000000000004,2.1129365
0.4857263157894737,1.8497775,0.43599999999999994,2.0951958
0.4920842105263158,1.8233987,0.4431999999999999,2.1051908
0.4961894736842105,1.8093626,0.428,2.1680896
0.5011368421052631,1.773269,0.4324,2.0769587
0.5096842105263157,1.7530242,0.458,2.0312278
0.5134105263157894,1.7311306,0.45399999999999996,2.0706668
0.5158736842105264,1.7191647,0.4576,2.032591
0.5231368421052631,1.6986588,0.46520000000000006,1.982689
0.5288842105263158,1.6766545,0.45880000000000004,2.07648
0.5326105263157895,1.6579802,0.4632,2.0166671
0.5396421052631578,1.6319875,0.4612,1.9996365
0.5404631578947369,1.6206357,0.482,2.0026743
0.5445894736842105,1.601064,0.46919999999999995,1.98892
0.5508,1.5785455,0.4876,1.979812
0.5538947368421053,1.5609709,0.4808,1.9831347
0.5586736842105263,1.5499074,0.4647999999999999,2.004688
0.5630526315789475,1.5270736,0.4856,1.926003
0.5673684210526316,1.5119169,0.48879999999999996,1.9574248
0.5731578947368421,1.4899595,0.4852,1.9731675
0.5762526315789475,1.4763179,0.4904,1.9481149
0.5807157894736842,1.4515265,0.4856,1.9596775
0.5845473684210526,1.444375,0.48479999999999995,1.9328879
0.5893263157894736,1.4186504,0.48440000000000005,2.0158195
0.5919789473684212,1.4116527,0.4824,1.9513321
0.5976421052631579,1.3831507,0.49479999999999996,1.9557979
0.6006736842105261,1.3747222,0.49560000000000004,1.9398389
0.6089052631578947,1.3535094,0.5,1.9145343
0.6111578947368421,1.3406789,0.498,1.9751916
0.6156631578947368,1.3237169,0.482,1.9921546
0.6182315789473684,1.3063024,0.49760000000000004,1.9210975
0.6242526315789473,1.2843353,0.5076,1.8903494
0.6289052631578947,1.2710011,0.496,1.9276404
0.6305684210526316,1.2584544,0.4904,1.9766115
0.6320631578947369,1.2464124,0.5024,1.9684241
0.6393473684210526,1.2312144,0.5008,1.9278125
0.6428421052631578,1.212811,0.5072,1.9827821
0.6451789473684211,1.1922019,0.5064,1.9488484
0.6501684210526315,1.1836559,0.4952000000000001,1.9980808
0.6533684210526315,1.1660395,0.5095999999999999,1.954655
0.6601684210526315,1.1511648,0.5092,1.9715973
0.6602947368421053,1.1448941,0.5168,1.9844291
0.6665684210526316,1.124507,0.5136,2.0410302
0.6692,1.109087,0.524,1.9507691
0.6724421052631578,1.0944673,0.5112000000000001,1.9924366
0.6739157894736842,1.0828464,0.5168,1.9782029
0.6799157894736841,1.0721586,0.518,2.015911
0.6855368421052631,1.0506344,0.5244000000000001,1.9982299
0.687978947368421,1.0439531,0.5292,1.9493638
0.6895368421052631,1.0341328,0.5284,1.9840345
0.6904421052631579,1.024952,0.5176,2.0300071
0.6938315789473682,1.0170194,0.5248,1.9946636
0.6973473684210526,1.0029951,0.5239999999999999,2.013359
0.6996631578947369,0.99358976,0.5252,2.0325377
0.7054947368421053,0.9791667,0.5196000000000001,2.037956
0.704,0.98071694,0.524,2.0241244
0.7114315789473684,0.966351,0.52,2.0691395
0.7111578947368421,0.95838124,0.5192,2.0549822
0.7113473684210526,0.95606244,0.5212,2.0408568
0.7150526315789473,0.9465873,0.5188000000000001,2.0607154
0.7154947368421052,0.93692154,0.5212,2.092585
0.7178947368421053,0.93034,0.5188,2.052009
0.7187368421052631,0.92605406,0.518,2.0543795
0.7221894736842105,0.9170153,0.5164,2.071449
0.7208421052631578,0.9174171,0.52,2.0670602
0.7244421052631579,0.91097856,0.5176,2.081809
0.726021052631579,0.9112364,0.5207999999999999,2.0846534
0.7229473684210526,0.9085333,0.5204,2.0880542
0.7258526315789473,0.8997186,0.5192,2.0911028
0.7281684210526316,0.8963317,0.5196000000000001,2.0974393
0.7270736842105263,0.89648014,0.522,2.0939634
0.7289052631578947,0.8878267,0.5216,2.1121066
0.7288210526315789,0.8854235,0.5187999999999999,2.1227686
0.7301684210526316,0.8832007,0.5232000000000001,2.092977
